measurement;ser_start;ser_end
m019_eggwhite_50C_bd;1;14
m020_eggwhite_53C_bd;1;14
m021_eggwhite_57C_bd;1;14
m022_eggwhite_57C_cycling;1;12
m023_eggwhite_60C_bd;1;15
m024_eggwhite_60C_cycling;1;12
m025_eggwhite_63C_bd;1;17
m026_eggwhite_65C_bd;1;17
m027_eggwhite_65C_cycling;1;14
m028_eggwhite_68C_bd;1;17
m029_eggwhite_70C_bd;1;17
m030_eggwhite_70C_standing;1;7
m031_eggwhite_70C_cycling;1;14
m046_eggwhite_80C_bd;1;16
m049_eggwhite_65C_standing;1;4
m050_eggwhite_78C_bd;1;16
m051_eggwhite_73C_bd;1;16
m057_eggwhite_80C_cycling;1;10
m058_eggwhite_80C_standing;1;3
m059_eggwhite_85C_bd;1;11
m060_eggwhite_75C_bd;1;16
m061_eggwhite_75C_cycling;1;10
m062_eggwhite_75C_standing;1;3